epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,1.4899233374826708,0.289740140196842,0.3425255877617448,0.289740140196842,0.2939740786213573,"[[14594 11117  2006  6139]
 [ 4519  3375   779  1435]
 [ 6287  8171  1362  1129]
 [ 3857  4165   551  1129]]",0.2835506241331484,0.3198704842695767,0.2835506241331484,0.2872651039379783,"[[3815 2708  534 1794]
 [1001  765  287  433]
 [1748 1662  223  285]
 [1044 1261  157  308]]"
2,1.3755387498418665,0.4409261488352333,0.3649030027021322,0.4409261488352333,0.3610721011891024,"[[27953  2475  1832  1596]
 [ 8248   879   647   334]
 [12885  1700  2015   349]
 [ 7844   846   723   289]]",0.4452704576976422,0.3435789460909307,0.4452704576976422,0.3594551743578272,"[[7374  545  466  466]
 [1921  247  242   76]
 [3146  375  348   49]
 [2239  259  215   57]]"
3,1.3091726276843034,0.48261700771790694,0.3966347361980858,0.48261700771790694,0.3647328821931376,"[[31664   719  1191   282]
 [ 9239   320   489    60]
 [14535   270  2035   109]
 [ 8879   139   623    61]]",0.48832177531206655,0.3755599408931741,0.48832177531206655,0.3639573886767521,"[[8342  145  286   78]
 [2196  102  171   17]
 [3504   61  350    3]
 [2532   38  192    8]]"
4,1.2676696147162483,0.495999433548113,0.43458538327463136,0.495999433548113,0.37244755212925973,"[[32435   390   967    64]
 [ 9485   182   435     6]
 [14477    63  2381    28]
 [ 8958    32   685    27]]",0.5010263522884882,0.40614069158187643,0.5010263522884882,0.3706670079639737,"[[8545   70  220   16]
 [2275   68  137    6]
 [3489   12  417    0]
 [2532    6  231    1]]"
5,1.2382179228219692,0.5036748566168661,0.44478777608576375,0.5036748566168661,0.37984231040523336,"[[32713   255   873    15]
 [ 9554   132   419     3]
 [14201    25  2717     6]
 [ 8929    14   754     5]]",0.5094036061026352,0.4238960143103921,0.5094036061026352,0.38000594453243497,"[[8614   46  185    6]
 [2299   58  129    0]
 [3401    7  510    0]
 [2507    3  260    0]]"
6,1.2168026844835491,0.5094951497557176,0.44932846551083155,0.5094951497557176,0.38820383841137485,"[[32747   219   884     6]
 [ 9558   116   432     2]
 [13823     9  3113     4]
 [ 8813     8   879     2]]",0.5145076282940361,0.43269388550181304,0.5145076282940361,0.3865167794020978,"[[8637   33  178    3]
 [2319   42  125    0]
 [3319    4  595    0]
 [2456    1  313    0]]"
7,1.19942221872607,0.5163633788855059,0.47394176989906195,0.5163633788855059,0.39963386465403805,"[[32626   186  1042     2]
 [ 9527   103   478     0]
 [13205     9  3732     3]
 [ 8625     6  1069     2]]",0.5207766990291263,0.44255798251993467,0.5207766990291263,0.3964089828995844,"[[8633   26  190    2]
 [2318   38  130    0]
 [3199    3  716    0]
 [2377    1  392    0]]"
8,1.1931037732157939,0.5233732209870424,0.5132597029072788,0.5233732209870424,0.41158966723957574,"[[32440   176  1239     1]
 [ 9427   127   554     0]
 [12544    15  4389     1]
 [ 8395     6  1299     2]]",0.5267683772538142,0.449012416839459,0.5267683772538142,0.40670497022256613,"[[8607   26  217    1]
 [2305   42  139    0]
 [3069    3  846    0]
 [2278    1  491    0]]"
9,1.1762085685645955,0.5288536429936982,0.5128415904556207,0.5288536429936982,0.42012413719082975,"[[32288   180  1387     1]
 [ 9379   118   610     1]
 [11998    14  4937     0]
 [ 8192     4  1504     2]]",0.5324826629680999,0.4576116102113646,0.5324826629680999,0.41548406361433454,"[[8590   23  237    1]
 [2298   43  145    0]
 [2950    3  965    0]
 [2210    1  559    0]]"
10,1.173837267617297,0.5340650003540325,0.5188835801072088,0.5340650003540325,0.4286243666191409,"[[32081   186  1588     1]
 [ 9298   139   671     0]
 [11443    14  5492     0]
 [ 7993     5  1703     1]]",0.5373092926490984,0.45990678717844097,0.5373092926490984,0.42379481642744377,"[[8546   26  278    1]
 [2291   47  148    0]
 [2822    4 1092    0]
 [2158    1  611    0]]"
