epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,1.2250774654875214,0.49555578930759725,0.4520395459510453,0.49555578930759725,0.39765524515787354,"[[ 2713  7249   105  8519]
 [ 1515 16824    14  1269]
 [ 1108  1446    79 14541]
 [ 1388  1171    40 18073]]",0.47216418827577733,0.3858874210525268,0.47216418827577733,0.3717603628793747,"[[ 529 1870   33 1633]
 [ 358 3270    8  554]
 [ 342  265    9 3155]
 [ 151  202   19 3876]]"
2,1.0671955665654203,0.5338049280774186,0.5240886801364838,0.5338049280774186,0.4662992312999731,"[[ 6467  5373   299  6447]
 [ 2389 16453    18   762]
 [ 2031  1042   468 13633]
 [ 2533   690   239 17210]]",0.5012904018680103,0.4523231948083182,0.5012904018680103,0.43070684586430685,"[[1231 1546  100 1188]
 [ 636 3152   11  391]
 [ 670  168   79 2854]
 [ 376   80   96 3696]]"
3,1.0130602200283858,0.5459410418912878,0.5513797026880423,0.5459410418912878,0.48193494459856756,"[[ 8173  4305   196  5912]
 [ 2948 15991     1   682]
 [ 2528   828   330 13488]
 [ 3060   470   115 17027]]",0.5132112572201057,0.4632001220929874,0.5132112572201057,0.44806589621915566,"[[1668 1218   70 1109]
 [ 820 3003   18  349]
 [ 747  129   47 2848]
 [ 526   30   58 3634]]"
4,0.9861473643234415,0.5543166697346622,0.5633213062836693,0.5543166697346622,0.49391468155599627,"[[ 9128  4171   222  5065]
 [ 3142 16000     2   478]
 [ 2848   771   460 13095]
 [ 3453   486   163 16570]]",0.5152390315841219,0.444632126671028,0.5152390315841219,0.45162634908043203,"[[1857 1164   59  985]
 [ 854 3028    0  308]
 [ 843  120   26 2782]
 [ 653   33   88 3474]]"
5,0.975423224521487,0.5640728955741973,0.5681814956525609,0.5640728955741973,0.5250002820245621,"[[ 9563  3158   833  5032]
 [ 3788 15237    16   581]
 [ 2572   578  1636 12388]
 [ 3122   245   841 16464]]",0.5076809635000614,0.4624086750976244,0.5076809635000614,0.4605189527696765,"[[1884  994  253  934]
 [ 977 2850   29  334]
 [ 744   98  142 2787]
 [ 523   30  309 3386]]"
6,0.9710371129059294,0.5652431167328477,0.5652045678280926,0.5652431167328477,0.5374898536634364,"[[10484  2922  1165  4015]
 [ 4117 14986    15   504]
 [ 3040   538  2336 11260]
 [ 3769   215  1505 15183]]",0.5025193560280201,0.4697589556509661,0.5025193560280201,0.4671041637351042,"[[2032  966  315  752]
 [1084 2781   51  274]
 [ 866   95  252 2558]
 [ 631   30  474 3113]]"
7,0.9600689136340951,0.5588397717411313,0.5796989686471643,0.5588397717411313,0.5172752268370873,"[[13624  1278   424  3260]
 [ 5933 13364     1   324]
 [ 4589   298   923 11364]
 [ 5316    90   675 14591]]",0.5166523288681332,0.5026484144492954,0.5166523288681332,0.47112581341993703,"[[2777  490  169  629]
 [1526 2473   16  175]
 [1170   45  116 2440]
 [1035   20  151 3042]]"
8,0.9543886609004741,0.5700949325479264,0.5695843104064191,0.5700949325479264,0.5271022635477289,"[[ 9785  3319   783  4699]
 [ 3372 15663    20   567]
 [ 2549   646  1428 12551]
 [ 3206   268   716 16482]]",0.5129040186801033,0.4551694621497797,0.5129040186801033,0.46219843063637905,"[[1972 1018  209  866]
 [ 904 2927   48  311]
 [ 732  119   95 2825]
 [ 577   30  288 3353]]"
9,0.9504942380932323,0.578470560391301,0.5889353470786598,0.578470560391301,0.5665020476473891,"[[11634  1699  1699  3554]
 [ 4964 14147    90   421]
 [ 2826   371  3779 10198]
 [ 3513   125  2599 14435]]",0.5202162959321617,0.5223883821400003,0.5202162959321617,0.5056342392863316,"[[2383  599  458  625]
 [1284 2579   73  254]
 [ 807   50  626 2288]
 [ 626   27  717 2878]]"
10,0.9439280623178421,0.581665658610987,0.5866671054077022,0.581665658610987,0.5677803038770661,"[[12073  2570  1301  2642]
 [ 4226 15044    32   320]
 [ 3576   506  3867  9225]
 [ 4708   175  2535 13254]]",0.5138871820081111,0.5093028697809807,0.5138871820081111,0.49895610866988194,"[[2312  855  399  499]
 [1182 2774   63  171]
 [1029   82  635 2025]
 [ 887   23  696 2642]]"
11,0.9367183582621057,0.5804033975859257,0.5752743688364498,0.5804033975859257,0.5696662041885548,"[[11328  3844  1399  2015]
 [ 3109 16235    66   212]
 [ 3793   703  4977  7701]
 [ 5146   326  3598 11602]]",0.514501659088116,0.5063770435502347,0.514501659088116,0.5039585972212538,"[[2156 1132  445  332]
 [ 921 3065   68  136]
 [1121  107  831 1712]
 [1009   31  887 2321]]"
12,0.9287744507456668,0.5861361664080784,0.5975208262472269,0.5861361664080784,0.5737798024788576,"[[10695  2028  1486  4377]
 [ 4233 14645    85   659]
 [ 2478   417  4091 10188]
 [ 2978   112  2435 15147]]",0.5255622465282045,0.5259894631887012,0.5255622465282045,0.5111188897307294,"[[2172  717  421  755]
 [1056 2685  103  346]
 [ 697   55  691 2328]
 [ 500   18  725 3005]]"
13,0.9278335961876482,0.5892918189707314,0.5949023085913706,0.5892918189707314,0.563094931337298,"[[11498  2491  1001  3596]
 [ 3939 15256    15   412]
 [ 2842   527  2681 11124]
 [ 3589   185  1515 15383]]",0.5212609069681701,0.5103814687773354,0.5212609069681701,0.4940922771023767,"[[2226  851  266  722]
 [1077 2761   36  316]
 [ 866   65  433 2407]
 [ 639   23  523 3063]]"
14,0.9249398398361084,0.5937886238725116,0.5993632893626565,0.5937886238725116,0.5770951825911234,"[[12131  2489  1195  2771]
 [ 3971 15313    30   308]
 [ 3212   523  3715  9724]
 [ 4369   165  2137 14001]]",0.521506697800172,0.5169875587059015,0.521506697800172,0.5043281270681316,"[[2306  833  351  575]
 [1117 2813   60  200]
 [ 958   69  612 2132]
 [ 841   16  635 2756]]"
