epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,1.1235281502645624,0.5383280300838877,0.5030003478117794,0.5383280300838877,0.487250531392387,"[[ 8708  4568   823  4487]
 [ 3057 16085    50   430]
 [ 3105   907   787 12375]
 [ 4093   501   716 15362]]",0.5078038589160624,0.4753084251120097,0.5078038589160624,0.45604734013660353,"[[1700 1290  146  929]
 [ 860 3016   34  280]
 [ 922  138  174 2537]
 [ 635   64  175 3374]]"
2,1.0059313963183814,0.5509506403344991,0.4514648349518741,0.5509506403344991,0.4866464378783687,"[[ 9981  2898     0  5707]
 [ 4133 14870     0   619]
 [ 2930   531     0 13713]
 [ 3409   212     0 17051]]",0.5178198353201425,0.4180269881435801,0.5178198353201425,0.45074683327108117,"[[1970  939    0 1156]
 [1073 2775    0  342]
 [ 754  109    0 2908]
 [ 545   21    0 3682]]"
3,0.9819365674644757,0.562771188892103,0.5709831004848727,0.562771188892103,0.5231148580150283,"[[11496  1834   739  4517]
 [ 5160 13846    39   577]
 [ 2902   344  1184 12744]
 [ 3550    77   770 16275]]",0.5241489492441932,0.4970522221596602,0.5241489492441932,0.47656356648549686,"[[2293  668  158  946]
 [1219 2639   52  280]
 [ 783   73  140 2775]
 [ 562   23  205 3458]]"
4,0.9575592054362091,0.5680832040392353,0.5881621662449937,0.5680832040392353,0.5230137795001225,"[[11264  1806   563  4953]
 [ 4879 14110     0   633]
 [ 2630   384   960 13200]
 [ 3297   108   396 16871]]",0.5242103969521937,0.48729578061479034,0.5242103969521937,0.4706778517022086,"[[2270  641  125 1029]
 [1163 2635   19  373]
 [ 700   67   74 2930]
 [ 516   30  150 3552]]"
5,0.947426252485661,0.5789570568280432,0.57495268239571,0.5789570568280432,0.5539258744084167,"[[11586  3401  1064  2535]
 [ 3482 15799    26   315]
 [ 3429   707  2843 10195]
 [ 4743   317  1808 13804]]",0.5019663266560157,0.4745811695415166,0.5019663266560157,0.4742550912890567,"[[2215 1018  339  493]
 [1031 2949   50  160]
 [1080  116  345 2230]
 [ 961   38  589 2660]]"
6,0.9354734581029626,0.5742104294317195,0.5978558232734629,0.5742104294317195,0.56226419584991,"[[10779  1009  2170  4628]
 [ 5491 13093    88   950]
 [ 2068   184  3648 11274]
 [ 2213    19  2289 16151]]",0.4992011797959936,0.5160220206672876,0.4992011797959936,0.485096489965315,"[[2308  341  581  835]
 [1366 2253  146  425]
 [ 570   43  497 2661]
 [ 349    0  833 3066]]"
7,0.9201306092222468,0.5928287795513714,0.6153040109065916,0.5928287795513714,0.5858163440639449,"[[13110  1079  1578  2819]
 [ 5612 13544    59   407]
 [ 2985   248  4552  9389]
 [ 3861    29  2901 13881]]",0.5378517881283028,0.5564529729819719,0.5378517881283028,0.5262560101336297,"[[2785  339  436  505]
 [1427 2433   92  238]
 [ 911   48  733 2079]
 [ 716    5  725 2802]]"
8,0.912545484247024,0.5992189759907435,0.5997222804826366,0.5992189759907435,0.589776471175186,"[[12893  2736  1285  1672]
 [ 3619 15654    74   275]
 [ 3575   636  5099  7864]
 [ 4970   227  3548 11927]]",0.5250092171562001,0.5228256647040267,0.5250092171562001,0.5135896864223612,"[[2543  825  377  320]
 [1077 2877   54  182]
 [1073  148  785 1765]
 [1042   30  837 2339]]"
9,0.8998822483501695,0.5898835038262288,0.6220667893503334,0.5898835038262288,0.5818476059539559,"[[15073  1001   917  1595]
 [ 5851 13455    40   276]
 [ 4596   236  4569  7773]
 [ 5732    17  3157 11766]]",0.5229814427921838,0.5593119732705795,0.5229814427921838,0.5123928281563557,"[[3136  347  298  284]
 [1602 2348   69  171]
 [1191   41  784 1755]
 [1318    2  685 2243]]"
10,0.8906280589476826,0.6066873537223552,0.609174264982257,0.6066873537223552,0.5798448028942771,"[[10862  2543  1261  3920]
 [ 2838 16018    18   748]
 [ 1697   672  2905 11900]
 [ 2371   373  1572 16356]]",0.5226742042521814,0.5031530766457928,0.5226742042521814,0.49567419711436744,"[[2108  654  404  899]
 [ 775 2903  169  343]
 [ 604  124  349 2694]
 [ 468   48  586 3146]]"
11,0.8797885895397269,0.6183764167565151,0.6123152343269878,0.6183764167565151,0.6051647857338597,"[[ 9722  4113  1898  2853]
 [ 1775 17236    98   513]
 [ 1291  1016  5675  9192]
 [ 2217   608  3450 14397]]",0.5269140961042154,0.5136547420784063,0.5269140961042154,0.5130988870267714,"[[1807 1103  546  609]
 [ 526 3153  218  293]
 [ 609  193  839 2130]
 [ 434   76  962 2776]]"
12,0.8645667488810818,0.6204275909222394,0.6092672866041039,0.6204275909222394,0.6051933393929332,"[[11437  4286  1121  1742]
 [ 1825 17451    42   304]
 [ 2563  1038  5306  8267]
 [ 3650   736  3294 12992]]",0.5299864815042399,0.5114865035278702,0.5299864815042399,0.5126701614112718,"[[2080 1172  420  393]
 [ 617 3267   66  240]
 [ 817  210  774 1970]
 [ 846  113  785 2504]]"
13,0.8535514572937263,0.6358376942698609,0.6378076328364075,0.6358376942698609,0.6168700147732045,"[[13213  2003  1060  2310]
 [ 3046 16163    22   391]
 [ 2352   560  3969 10293]
 [ 3280   254  2125 15013]]",0.5413543074843309,0.5340786317671092,0.5413543074843309,0.5219801749629193,"[[2511  631  394  529]
 [1049 2830   73  238]
 [ 763  113  583 2312]
 [ 718   29  615 2886]]"
14,0.8469008284936365,0.6224919136403082,0.6244375311376692,0.6224919136403082,0.604086902511784,"[[ 9386  3040  2148  4012]
 [ 1788 17122    35   677]
 [ 1162   678  4443 10891]
 [ 1277   345  2658 16392]]",0.5315841219122527,0.5313507477019306,0.5315841219122527,0.5128943402996875,"[[1669  906  542  948]
 [ 532 3054  220  384]
 [ 305  189  718 2559]
 [ 262   44  732 3210]]"
15,0.8294947368494963,0.6541536276855918,0.6545710446932627,0.6541536276855918,0.6392486257172204,"[[12780  1830  1527  2449]
 [ 2558 16490    63   511]
 [ 1597   550  4642 10385]
 [ 2125   275  2433 15839]]",0.5361927000122896,0.5338740855150577,0.5361927000122896,0.5219872543441031,"[[2118  661  447  839]
 [ 818 2900  158  314]
 [ 556  125  705 2385]
 [ 485   30  730 3003]]"
16,0.8161621417485501,0.6308412443789939,0.6317946651641982,0.6308412443789939,0.627048322297158,"[[10811  1943  3198  2634]
 [ 2413 16515   235   459]
 [ 1383   539  6212  9040]
 [ 1821   182  4229 14440]]",0.5490352709843923,0.558440421596065,0.5490352709843923,0.5491736317108714,"[[2073  642  774  576]
 [ 628 2932  347  283]
 [ 414  155 1183 2019]
 [ 326   24 1151 2747]]"
17,0.8068396611494965,0.6675520025245221,0.6738302385188826,0.6675520025245221,0.6556867022187834,"[[12284  2089  1087  3126]
 [ 1866 17087    14   655]
 [ 1320   568  5380  9906]
 [ 1660   191  2802 16019]]",0.5408012781123264,0.5396064215855143,0.5408012781123264,0.524563354847213,"[[1989  737  381  958]
 [ 742 2922  153  373]
 [ 544  154  737 2336]
 [ 363   24  708 3153]]"
