epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,0.9980655086117906,0.7069805194805194,0.5725878084077994,0.7069805194805194,0.6186999529067223,"[[15558     0   290     0]
 [ 2093     0   129     0]
 [ 2598     0   991     0]
 [ 1387     0   362     0]]",0.722712822324267,0.5781491613133716,0.722712822324267,0.6341222501089347,"[[3835    0   39    0]
 [ 542    0   35    0]
 [ 485    0  257    0]
 [ 348    0  121    0]]"
2,0.8029343611621237,0.7001452494873548,0.6422359187854745,0.7001452494873548,0.6585529017835476,"[[13457     0  2391     0]
 [ 1160     0  1062     0]
 [  657     0  2932     0]
 [  305     0  1444     0]]",0.6877428470505121,0.6358775330304428,0.6877428470505121,0.6455335828296451,"[[3225    0  649    0]
 [ 305    0  272    0]
 [  73    0  669    0]
 [ 135    0  334    0]]"
3,0.7570701669659707,0.7000598086124402,0.6441077056981108,0.7000598086124402,0.6590269177049758,"[[13429     0  2419     0]
 [ 1174     0  1048     0]
 [  631     0  2958     0]
 [  260     0  1489     0]]",0.6895090074178736,0.6379411101720636,0.6895090074178736,0.647233261776244,"[[3230    0  644    0]
 [ 310    0  267    0]
 [  68    0  674    0]
 [ 124    0  345    0]]"
4,0.7696023770644294,0.7221035543403964,0.6110646705178273,0.7221035543403964,0.661072407317748,"[[14675     0  1173     0]
 [ 1628     0   594     0]
 [ 1361     0  2228     0]
 [  561     0  1188     0]]",0.7179441893323913,0.6083835935895229,0.7179441893323913,0.6553603059232856,"[[3519    0  355    0]
 [ 453    0  124    0]
 [ 196    0  546    0]
 [ 178    0  291    0]]"
5,0.7327962303413199,0.7152255639097744,0.5813434931693648,0.7152255639097744,0.6382476806155061,"[[15297     0   551     0]
 [ 1987     0   235     0]
 [ 2144     0  1445     0]
 [ 1036     0   713     0]]",0.7276580713528789,0.5901390328172292,0.7276580713528789,0.6515364175806395,"[[3704    0  170    0]
 [ 539    0   38    0]
 [ 326    0  416    0]
 [ 264    0  205    0]]"
6,0.7492610065677723,0.7191131237183869,0.5870306045537952,0.7191131237183869,0.6448353818988598,"[[15253     0   595     0]
 [ 2026     0   196     0]
 [ 2009     0  1580     0]
 [  804     0   945     0]]",0.7190038855528081,0.5894347375021385,0.7190038855528081,0.647686322265979,"[[3629    0  245    0]
 [ 522    0   55    0]
 [ 300    0  442    0]
 [ 231    0  238    0]]"
7,0.737914473229608,0.7194976076555024,0.6327804309913589,0.7194976076555024,0.6679376879001044,"[[14169     0  1679     0]
 [ 1434     0   788     0]
 [  916     0  2673     0]
 [  291     0  1458     0]]",0.7151183327446132,0.6214991114996132,0.7151183327446132,0.6580940121535357,"[[3439    0  435    0]
 [ 416    0  161    0]
 [ 132    0  610    0]
 [ 147    0  322    0]]"
8,0.7235906609128435,0.719753930280246,0.650909574178646,0.719753930280246,0.67336243964041,"[[13824     0  2024     0]
 [ 1244     0   978     0]
 [  565     0  3024     0]
 [  249     0  1500     0]]",0.7018721299894031,0.6321371489579944,0.7018721299894031,0.653172012696747,"[[3317    0  557    0]
 [ 355    0  222    0]
 [  85    0  657    0]
 [ 132    0  337    0]]"
9,0.7182070655482156,0.7324419002050581,0.6226479289378377,0.7324419002050581,0.6717306825391817,"[[14785     0  1063     0]
 [ 1603     0   619     0]
 [ 1229     0  2360     0]
 [  403     0  1346     0]]",0.7195337336630167,0.6091111029248151,0.7195337336630167,0.6564755919332586,"[[3522    0  352    0]
 [ 478    0   99    0]
 [ 190    0  552    0]
 [ 160    0  309    0]]"
10,0.6954777889776153,0.730134996582365,0.632841205764652,0.730134996582365,0.6742878525403713,"[[14468     0  1380     0]
 [ 1517     0   705     0]
 [  966     0  2623     0]
 [  313     0  1436     0]]",0.71617802896503,0.6150004965755826,0.71617802896503,0.6566163211883793,"[[3474    0  400    0]
 [ 438    0  139    0]
 [ 161    0  581    0]
 [ 158    0  311    0]]"
