epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,1.1098902975690776,0.5361447180240424,0.5294301933861781,0.5361447180240424,0.4982495886616806,"[[35339 11903  1249 14119]
 [15040 50513   103  1600]
 [12758  1978  4222 39221]
 [16030  1443  4560 48632]]",0.5058989799680472,0.46863736645956533,0.5058989799680472,0.4566734980061288,"[[2162 1144  104  655]
 [1086 2949    6  149]
 [1178  147  115 2331]
 [1002   50  189 3007]]"
2,0.9971323099038373,0.5397935912798114,0.5165610196328213,0.5397935912798114,0.4728717417325045,"[[27749 11674     1 23186]
 [12601 51664     1  2990]
 [ 7042  2030     1 49106]
 [ 9039  1390     0 60236]]",0.5229199950841834,0.41512338452780684,0.5229199950841834,0.45186287096058825,"[[1790 1127    0 1148]
 [ 845 3017    0  328]
 [ 672  160    0 2939]
 [ 500   45    0 3703]]"
3,0.9750260461436784,0.5496308608094005,0.5732022981452811,0.5496308608094005,0.48903938951627357,"[[34112  6871    98 21529]
 [16546 47991    34  2685]
 [ 8467  1153   163 48396]
 [10096   602    38 59929]]",0.529740690672238,0.4355434436920256,0.529740690672238,0.46379680594607536,"[[2304  711    0 1050]
 [1279 2624    0  287]
 [ 768   77    0 2926]
 [ 522   30    3 3693]]"
4,0.9592992454084462,0.5611340883614858,0.5873717576211224,0.5611340883614858,0.5210980302398913,"[[40315  4303  1394 16598]
 [19385 45625    96  2150]
 [10085   912  3651 43531]
 [12203   439  2443 55580]]",0.5339805825242718,0.49916956219507047,0.5339805825242718,0.4746997689113838,"[[2704  407   29  925]
 [1393 2512    0  285]
 [ 882   60   22 2807]
 [ 703   30   63 3452]]"
5,0.9463252506210492,0.5786788295775193,0.5813692288920729,0.5786788295775193,0.5571167242173015,"[[40333  8239  2673 11365]
 [13801 51955   214  1286]
 [11070  1738  9769 35602]
 [14447   918  7647 47653]]",0.529003318176232,0.5190921822547392,0.529003318176232,0.48565720717568445,"[[2543  664  101  757]
 [1232 2769   23  166]
 [1015  112  192 2452]
 [ 888   35  220 3105]]"
6,0.9361399872211786,0.5819952842951568,0.5899901785009695,0.5819952842951568,0.5791510215976772,"[[39336  6073  6768 10433]
 [15593 49807   561  1295]
 [ 9083  1255 17819 30022]
 [11826   657 14576 43606]]",0.5345336118962762,0.5396773912336236,0.5345336118962762,0.5199703586395775,"[[2535  576  337  617]
 [1287 2678   71  154]
 [ 840   88  687 2156]
 [ 762   30  657 2799]]"
7,0.9265333618907136,0.5867380464612887,0.5979262044437029,0.5867380464612887,0.5752894296783115,"[[38144  5717  4440 14309]
 [15174 49900   400  1782]
 [ 7975  1322 13503 35379]
 [10113   649  9655 50248]]",0.5433206341403466,0.554329619027396,0.5433206341403466,0.5114563438890342,"[[2651  388  144  882]
 [1239 2650   35  266]
 [ 777   81  358 2555]
 [ 682   30  353 3183]]"
8,0.9143759013806022,0.587812608712458,0.6037950506038141,0.587812608712458,0.5621902923379688,"[[37680  5816  2616 16498]
 [14181 50777   217  2081]
 [ 7488  1252  8487 40952]
 [ 9556   594  5386 55129]]",0.5427061570603416,0.5290027994489275,0.5427061570603416,0.49124885736286905,"[[2595  416   43 1011]
 [1238 2663   12  277]
 [ 756   78  103 2834]
 [ 557   30  190 3471]]"
9,0.9014902571757334,0.5920026284256503,0.59158198425028,0.5920026284256503,0.5615256869243849,"[[41361 12208  1532  7509]
 [ 9236 56924   255   841]
 [12743  2915  8862 33659]
 [17647  1631  5377 46010]]",0.5270369915202163,0.5121831906723986,0.5270369915202163,0.4815468387684587,"[[2516  959   50  540]
 [ 965 3081   29  115]
 [1083  219  196 2273]
 [1168   80  216 2784]]"
10,0.8917678482460987,0.6061574736191102,0.6043234814202827,0.6061574736191102,0.5788364291197159,"[[38219 11745  2272 10374]
 [ 8454 57391   263  1148]
 [ 8478  2592 10387 36722]
 [12478  1329  6036 50822]]",0.536868624800295,0.5273918123171668,0.536868624800295,0.49337125658477,"[[2370  831   69  795]
 [ 891 3084   19  196]
 [ 804  203  239 2525]
 [ 894   67  243 3044]]"
11,0.8788637860652181,0.6192300258977234,0.6254614919745721,0.6192300258977234,0.6080300409559141,"[[41472  6395  3570 11173]
 [12091 53654   414  1097]
 [ 8082  1304 15669 33124]
 [10819   572  9868 49406]]",0.5460243332923682,0.5592911598835957,0.5460243332923682,0.516862488195038,"[[2620  533   82  830]
 [1128 2792   39  231]
 [ 864  138  442 2327]
 [ 811   36  369 3032]]"
12,0.8615472627399832,0.6316068184453635,0.6372925448322778,0.6316068184453635,0.6171184482262093,"[[45950  7451  2031  7178]
 [10463 55718   259   816]
 [10259  1655 15645 30620]
 [15030   778  8767 46090]]",0.5459014378763672,0.5548230159887756,0.5459014378763672,0.5197209195800977,"[[2743  573   61  688]
 [1143 2855   51  141]
 [ 985  143  495 2148]
 [ 949   52  456 2791]]"
13,0.8498747742747608,0.6400641645085231,0.6482070209860588,0.6400641645085231,0.6226475982556962,"[[45873  6734  2033  7970]
 [10240 55740   282   994]
 [ 9528  1447 14248 32956]
 [13125   454  7356 49730]]",0.5550571463684405,0.5709696119472045,0.5550571463684405,0.5279392098526722,"[[2853  420   80  712]
 [1138 2804   52  196]
 [ 938  154  488 2191]
 [ 930   45  385 2888]]"
14,0.8365594582085797,0.6540296084418847,0.6597032301191429,0.6540296084418847,0.6554723765514832,"[[43969  5129  4788  8724]
 [11047 54712   599   898]
 [ 7294   884 28900 21101]
 [ 9080   324 19638 41623]]",0.5688828806685511,0.5829598127275729,0.5688828806685511,0.5674057442174492,"[[2602  475  252  736]
 [1098 2780   94  218]
 [ 714  146 1306 1605]
 [ 713   43  922 2570]]"
