epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,0.9989158781768922,0.6714234144800668,0.5749850567904449,0.6714234144800668,0.5803582229424958,"[[56214    87  1941     8]
 [ 8223    92   880     1]
 [11667    18  3213     2]
 [ 5272    18  1010     0]]",0.7286931818181818,0.6082200653603897,0.7286931818181818,0.6547506186033624,"[[1922    0   78    0]
 [ 228    1   14    0]
 [ 215    7  129    0]
 [ 160    0   62    0]]"
2,0.8680971339725757,0.6813505403515105,0.6280402253132836,0.6813505403515105,0.5956055274695692,"[[56201    67  1980     2]
 [ 8140   143   912     1]
 [10825    21  4053     1]
 [ 5078    14  1206     2]]",0.734375,0.6168990773907553,0.734375,0.6635157522937203,"[[1914    0   86    0]
 [ 230    1   12    0]
 [ 191    7  153    0]
 [ 149    0   73    0]]"
3,0.8344177530865856,0.6906233783814273,0.6466275826518105,0.6906233783814273,0.6149917683705155,"[[55494    77  2672     7]
 [ 7647   258  1290     1]
 [ 9398    36  5465     1]
 [ 4601    15  1680     4]]",0.7357954545454546,0.6379911707439203,0.7357954545454546,0.6713739355228904,"[[1872    1  127    0]
 [ 228    1   14    0]
 [ 148    2  199    2]
 [ 131    0   91    0]]"
4,0.8094730609726459,0.6970083252487422,0.6584050023076755,0.6970083252487422,0.6230847479022007,"[[55727   102  2415     6]
 [ 7561   384  1246     5]
 [ 9171    58  5668     3]
 [ 4672    20  1600     8]]",0.7407670454545454,0.6393038372901735,0.7407670454545454,0.6741841496755527,"[[1891    1  108    0]
 [ 235    1    7    0]
 [ 153    2  194    2]
 [ 131    0   91    0]]"
5,0.7876778243195259,0.7053786972903459,0.6691633882148702,0.7053786972903459,0.6369143771318159,"[[55610   122  2505    13]
 [ 7229   596  1352    19]
 [ 8503    86  6300    11]
 [ 4479    36  1762    23]]",0.7421875,0.6416736602059214,0.7421875,0.6762233140705907,"[[1889    1  110    0]
 [ 237    1    5    0]
 [ 148    2  200    1]
 [ 121    0  101    0]]"
6,0.7670981277040566,0.7102632944520904,0.6854194484694546,0.7102632944520904,0.6437851257238321,"[[55530   115  2591    14]
 [ 7081   629  1471    15]
 [ 8048    68  6767    17]
 [ 4376    21  1867    36]]",0.7450284090909091,0.6657893993094616,0.7450284090909091,0.6789160925016681,"[[1891    0  109    0]
 [ 238    1    4    0]
 [ 143    1  206    1]
 [ 118    0  104    0]]"
7,0.7503936437721757,0.7185659815445705,0.6984136164114088,0.7185659815445705,0.6585489197593395,"[[55324   171  2732    23]
 [ 6736   903  1530    27]
 [ 7386    96  7364    54]
 [ 4167    37  1989   107]]",0.7446732954545454,0.6535830267897029,0.7446732954545454,0.6805430534897629,"[[1883    1  116    0]
 [ 236    2    5    0]
 [ 135    2  212    2]
 [ 114    1  107    0]]"
8,0.733125405617731,0.7273650249306229,0.7079317489603227,0.7273650249306229,0.6732490016303198,"[[55549   267  2403    31]
 [ 6478  1328  1352    38]
 [ 7244   191  7362   103]
 [ 4178    79  1804   239]]",0.7453835227272727,0.6424131988604288,0.7453835227272727,0.6821874524845015,"[[1889    4  104    3]
 [ 236    3    4    0]
 [ 134    8  207    2]
 [ 117    1  104    0]]"
9,0.7101766517801524,0.7342576089163639,0.7250185485450078,0.7342576089163639,0.6841345016655358,"[[54994   195  3015    46]
 [ 6106  1248  1797    45]
 [ 6136   123  8520   121]
 [ 3785    41  2147   327]]",0.7425426136363636,0.6614258658008658,0.7425426136363636,0.6817520202021808,"[[1860    3  133    4]
 [ 235    2    6    0]
 [ 118    1  228    4]
 [ 112    1  108    1]]"
10,0.6959603255713006,0.7408343298061955,0.7306562945569129,0.7408343298061955,0.6932116806286267,"[[55222   214  2746    68]
 [ 6035  1420  1693    48]
 [ 5999   141  8602   158]
 [ 3778    52  2042   428]]",0.7450284090909091,0.6619930456223071,0.7450284090909091,0.684043857808934,"[[1870    3  122    5]
 [ 236    3    4    0]
 [ 120    2  224    5]
 [ 114    2  105    1]]"
11,0.6844774552666958,0.7516526408410983,0.7375723398601994,0.7516526408410983,0.7116660615070161,"[[55114   415  2637    84]
 [ 5570  2042  1539    45]
 [ 5531   258  8923   188]
 [ 3582   130  2036   552]]",0.7432528409090909,0.6526661001728202,0.7432528409090909,0.685194526016166,"[[1867    7  119    7]
 [ 234    5    4    0]
 [ 114   13  220    4]
 [ 114    3  104    1]]"
12,0.6670118791814355,0.7504117501071679,0.7387207878886313,0.7504117501071679,0.7043674025169353,"[[56026   249  1904    71]
 [ 6110  1781  1265    40]
 [ 6316   203  8187   194]
 [ 4071    74  1628   527]]",0.7535511363636364,0.6641192429978671,0.7535511363636364,0.6901835104012081,"[[1910    2   84    4]
 [ 235    4    4    0]
 [ 131    9  206    5]
 [ 126    4   90    2]]"
13,0.6493653832114535,0.7612300611420707,0.7469113522477077,0.7612300611420707,0.7236153625189485,"[[55699   378  2049   124]
 [ 5622  2202  1315    57]
 [ 5569   265  8769   297]
 [ 3677   125  1688   810]]",0.75,0.6673966423448351,0.75,0.6917777437803728,"[[1891    5   96    8]
 [ 233    6    4    0]
 [ 119   14  211    7]
 [ 119    5   94    4]]"
14,0.6385148364219186,0.767693973783363,0.7561762926353439,0.767693973783363,0.7316525825638652,"[[55569   382  2186   113]
 [ 5384  2316  1443    53]
 [ 5020   251  9385   244]
 [ 3494   128  1895   783]]",0.7485795454545454,0.6710833203209227,0.7485795454545454,0.691022952753324,"[[1885    4  104    7]
 [ 232    7    4    0]
 [ 119   14  212    6]
 [ 118    5   95    4]]"
15,0.6258440421643513,0.7741804480743631,0.7624377612379358,0.7741804480743631,0.7400870933494729,"[[55687   459  2007    97]
 [ 5196  2636  1317    47]
 [ 4847   314  9514   225]
 [ 3520   166  1823   791]]",0.7507102272727273,0.6709644737012517,0.7507102272727273,0.6930234287425181,"[[1896    5   91    8]
 [ 231    8    4    0]
 [ 121   19  206    5]
 [ 121    5   92    4]]"
