epoch,train_loss,train_Accuracy,train_Precision,train_Recall,train_F1,train_Confusion_Matrix,valid_Accuracy,valid_Precision,valid_Recall,valid_F1,valid_Confusion_Matrix
1,0.8820730462734007,0.7209256935731214,0.583783370784776,0.7209256935731214,0.6432134848835875,"[[46112     0  1639     0]
 [ 6305     0   911     0]
 [ 5492     0  5600     0]
 [ 3566     0  2105     0]]",0.7264888710647684,0.6111945416751018,0.7264888710647684,0.6610785939616725,"[[3387    0  219    0]
 [ 414    0    8    0]
 [ 455    0  236    0]
 [ 200    0   68    0]]"
2,0.7815577988632214,0.711682699010177,0.5746136357919689,0.711682699010177,0.6262603797078449,"[[46859     0   892     0]
 [ 6804     0   412     0]
 [ 6902     0  4190     0]
 [ 4189     0  1482     0]]",0.7423300581511931,0.6273396556188585,0.7423300581511931,0.6604771893495284,"[[3547    0   59    0]
 [ 422    0    0    0]
 [ 536    0  155    0]
 [ 232    0   36    0]]"
3,0.7651527615057098,0.730419629164924,0.6117217811202349,0.730419629164924,0.6644487665336012,"[[44549     0  3202     0]
 [ 5172     0  2044     0]
 [ 3248     0  7844     0]
 [ 2029     0  3642     0]]",0.7226789653098055,0.6258473445452909,0.7226789653098055,0.6707183580473951,"[[3258    0  348    0]
 [ 379    0   43    0]
 [ 345    0  346    0]
 [ 155    0  113    0]]"
4,0.7549800221672934,0.7344904502997351,0.6072355031233148,0.7344904502997351,0.6645484926075534,"[[45253     0  2498     0]
 [ 5744     0  1472     0]
 [ 3660     0  7432     0]
 [ 2170     0  3501     0]]",0.7489472628834971,0.6388449727415184,0.7489472628834971,0.688844521838037,"[[3398    0  208    0]
 [ 413    0    9    0]
 [ 354    0  337    0]
 [ 152    0  116    0]]"
5,0.7425807512118521,0.7329150982852363,0.6176951624034609,0.7329150982852363,0.6681380247115825,"[[44250     0  3501     0]
 [ 5296     0  1920     0]
 [ 2770     0  8322     0]
 [ 1750     0  3921     0]]",0.7343092039302186,0.6369145022984283,0.7343092039302186,0.6820075307462918,"[[3280    0  326    0]
 [ 397    0   25    0]
 [ 309    0  382    0]
 [ 131    0  137    0]]"
6,0.7169031555979297,0.7361076258190437,0.6213284425050467,0.7361076258190437,0.6713671932343648,"[[44337     0  3414     0]
 [ 5336     0  1880     0]
 [ 2628     0  8464     0]
 [ 1545     0  4126     0]]",0.74172849408462,0.643097533512238,0.74172849408462,0.6887702584901114,"[[3315    0  291    0]
 [ 372    0   50    0]
 [ 307    0  384    0]
 [ 127    0  141    0]]"
7,0.704171982076433,0.741419210929876,0.7330091625981351,0.741419210929876,0.6872452197846648,"[[43947    62  3615   127]
 [ 4686   297  2219    14]
 [ 2155    56  8809    72]
 [ 1631     2  3909   129]]",0.7214758371766593,0.7300924234025131,0.7214758371766593,0.6853953583904447,"[[3165   26  415    0]
 [ 350   31   41    0]
 [ 279   13  399    0]
 [ 132    0  133    3]]"
8,0.6783922063664366,0.7481527952042382,0.6949595805547414,0.7481527952042382,0.6903294270854,"[[45835   284  1582    50]
 [ 5571   693   947     5]
 [ 3513   430  7041   108]
 [ 2782    28  2765    96]]",0.7319029476639262,0.6622090128619295,0.7319029476639262,0.6855992078658437,"[[3312   61  233    0]
 [ 375   34   13    0]
 [ 360   13  303   15]
 [ 193    0   74    1]]"
9,0.6516331232702121,0.7684929597100237,0.7401626625483965,0.7684929597100237,0.7299917242278444,"[[46166   269   985   331]
 [ 5526   959   695    36]
 [ 3293   325  6488   986]
 [ 2527    14  1619  1511]]",0.7321034690194506,0.6810525100296658,0.7321034690194506,0.6926991337116546,"[[3341   98  154   13]
 [ 355   56   11    0]
 [ 404    9  217   61]
 [ 186    0   45   37]]"
10,0.6211434086291199,0.7930712393698592,0.7763844172383586,0.7930712393698592,0.764974391202858,"[[45188   791  1640   132]
 [ 2736  2889  1586     5]
 [ 2163   275  8343   311]
 [ 2279    76  2849   467]]",0.7437337076398637,0.7363028661011236,0.7437337076398637,0.7268262091075314,"[[3126  203  277    0]
 [ 142  257   23    0]
 [ 273   93  318    7]
 [ 214    0   46    8]]"
